<<<<<<< HEAD
,title,ingredients,directions,link,source,NER
1350322,Poutine ,"[""4 lb. russet potatoes, skin-on, washed and dried"", ""4 tbsp. unsalted butter"", ""1/4 cup flour"", ""1 shallot, minced"", ""1 clove garlic, minced"", ""4 cups beef stock"", ""2 tbsp. ketchup"", ""1 tbsp. cider vinegar"", ""1 tbsp. whole green peppercorns"", ""1/2 tsp. Worcestershire sauce"", ""Kosher salt and freshly ground black pepper"", ""Canola oil, for frying"", ""2 cups cheddar cheese curds""]","[""INGREDIENTS"", """", ""INSTRUCTIONS"", ""1. Cut potatoes into lengths of about 1/4\"" x 1/4\"" x 4\"". Place in a large bowl, cover with cold water, and refrigerate for about 2 hours."", """", ""2. Meanwhile, heat butter in a 2-qt. saucepan over medium-high heat. Add flour, and cook, stirring, until smooth, about 2 minutes. Add shallot and garlic, and cook, until soft, about 2 minutes. Add stock, ketchup, vinegar, peppercorns, Worcestershire, and salt and pepper, and bring to a boil; cook, stirring, until thickened, about 6 minutes. Remove from heat, and keep gravy warm."", """", ""3. Pour oil to a depth of 3\"" in a 6-qt. Dutch oven, and heat over medium heat until a deep-fry thermometer reads 325\u00b0. Drain potatoes, and dry thoroughly with paper towels. Working in small batches, add potatoes and fry, tossing occasionally, until tender and slightly crisp, about 4 minutes."", """", ""4. Drain on paper towels, and let cool for 20 minutes. Increase temperature to medium-high, and heat oil until it reads 375\u00b0. Working in small batches, return potatoes to oil, and fry, tossing occasionally, until crisp and golden brown, about 2 minutes. Transfer fries to paper towels to drain briefly, and then divide among serving bowls. Pour gravy over each serving of fries, and top with cheese curds; serve immediately.""]",www.epicurious.com/recipes/member/views/poutine-51268821,Gathered,"[""russet potatoes"", ""unsalted butter"", ""\u00bc"", ""shallot"", ""clove garlic"", ""beef stock"", ""ketchup"", ""cider vinegar"", ""whole green peppercorns"", ""Worcestershire sauce"", ""Kosher salt"", ""Canola oil"", ""cheddar cheese""]"
1379345,Lazy Classic Poutine,"[""Gravy"", ""1 tablespoon cornstarch"", ""1 tablespoon water"", ""3 tablespoons butter"", ""2 tablespoons all-purpose flour"", ""1 clove of garlic, minced"", ""10 ounces beef broth"", ""5 ounces chicken broth"", ""Ground black pepper, to taste"", ""Other"", ""2 pounds Extra Cripsy french fries"", ""1 cup fresh cheese curds""]","[""Bake the French fries in the oven as per the packages instructions."", ""Set your cheese curds aside."", ""In a small bowl or mug, combine the cornstarch and water. Stir until the corn starch has completely dissolved. Set aside."", ""In a large saucepan, melt the butter."", ""Add the flour, whisking often, for approx. 5 minutes or until the mixture turns golden brown in color."", ""Add the garlic and simmer for another 30 seconds."", ""Finally, add the beef and chicken broth. Bring to a boil, whisking regularly."", ""Stir in the cornstarch and simmer for 3 to 5 minutes or until the sauce thickens."", ""Season with ground black pepper. Taste and season further if needed. Taste and season further if needed."", ""Cover and keep warm until the fries are ready."", ""Once the fries are ready, distribute them into their respective dishes.\r\nSpoon some gravy onto the fries, add the cheese curds (approx. 1/2 cup per serving), and then drizzle with more gravy so the curds get all melty.""]",food52.com/recipes/41185-lazy-classic-poutine,Gathered,"[""Gravy"", ""cornstarch"", ""water"", ""butter"", ""flour"", ""clove of garlic"", ""beef broth"", ""chicken broth"", ""Ground black pepper"", ""fresh cheese curds""]"
1391399,Poutine,"[""1 bag Ore-Ida Extra Crispy Golden Crinkle French Fries"", ""3/4 pound cheese curds"", ""2 shallots, finely minced"", ""2 tablespoons butter"", ""1 puck Demi-Glace Gold"", ""1 cup beef stock"", ""Minced parsley, for topping, if desired""]","[""1. Make the gravy: Begin by melting butter in a saucepan over medium heat. Add minced shallots and stir; cook until translucent, about a minute or two. Add the Demi-Glace Gold, and whisk until it melts into the butter-shallot mixture. Once melted, pour in the beef stock. Whisk until well combined. Bring the mixture to a boil, and boil for 10 minutes. Then turn the dial to low, and leave on low for about 8 minutes, or until the French fries are done."", ""2. Bake the fries: I love Ore-Ida Extra Crispy fries because you get the texture of a deep-fried French fry, but it's been baked instead. Prepare a large cookie sheet by covering it with aluminum foil and spraying with cooking spray. Pour fries into an even layer. Bake fries until 2 minutes shy of done as according to package directions. Flip once halfway through. Remove fries from the oven when they are done to a broiler-safe platter."", ""3. Make POUTINE!: Set the broiler to high heat. Top the fries with the cheese curds, spacing them out throughout the fries and the platter. Put the platter into the broiler, and broil the fries and cheese for about 2-3 minutes, or until the cheese curds have become an ooey gooey melty delicious mess. Remove from broiler, and pour gravy on top. Top with minced parsley."", ""4. EAT!""]",food52.com/recipes/39632-poutine,Gathered,"[""Fries"", ""cheese curds"", ""shallots"", ""butter"", ""beef stock"", ""parsley""]"
1401075,Mile End’S Smoked Meat Poutine,"[""1 pint thick cut Russet potatoes"", ""4 tablespoons unsalted butter (1/2 stick)"", ""1/4 cup finely chopped shallot"", ""Kosher salt"", ""2 tablespoons all-purpose flour"", ""2 cups chicken broth"", ""Freshly ground black pepper"", ""4 ounces room-temperature cheese curds (having them room temperature helps the cheese to melt)"", ""2 ounces warm chopped up smoked meat, such as pastrami""]","[""To start the fries, rinse them thoroughly with cold water for a couple minutes to wash off all the starch."", ""While your fries rinse, preheat your oil to 275\u00b0F. Once the oil is hot, drain your fries and dry them very well to avoid splatter from oil. Gently put your potatoes in the oil and cook for approximately 3 to 4 minutes or until the potatoes are tender."", ""Place them on a sheet tray lined with paper towels to absorb any excess oil and let them cool down. While your fries are cooling, start your gravy."", ""To make the gravy, melt the butter in a medium saucepan over medium heat. Add the shallots, season with a pinch of salt, and cook, stirring occasionally, until softened, about 5 minutes."", ""Sprinkle the flour over the shallots and whisk until the flour has a toasted aroma and is light brown in color, about 2 minutes."", ""While whisking, slowly pour in the chicken broth and whisk until the flour is incorporated and the mixture is smooth. Season with pepper and simmer until the gravy thickens and the flavors meld, about 20 minutes. Taste and season with additional salt and pepper as needed."", ""Heat oil to 350\u00b0F, once the oil is hot, fry your blanched potatoes for 2 to 3 minutes or until golden brown and crunchy. Have a bowl ready with paper towel to drain the excess oil. Once you remove the fries from the oil, place them in the bowl and toss immediately with kosher salt. It's very important you do this so the salt sticks to the fries otherwise they will be bland."", ""Place your fries on a plate or bowl, top with your cheese curds and smoked meat."", ""Ladle 3 to 4 ounces gravy over French fries and cheese curds.""]",food52.com/recipes/59933-mile-end-s-smoked-meat-poutine,Gathered,"[""potatoes"", ""unsalted butter"", ""shallot"", ""Kosher salt"", ""flour"", ""chicken broth"", ""Freshly ground black pepper"", ""meat""]"
1401891,"Truffle-Pepper Fries, Rosemary Gravy Poutine With Crispy Shallots","[""6 large russet potatoes"", ""1/4 cup chicken fat or pan drippings from any poultry"", ""1 1/2 cups good chicken stock"", ""2 tablespoons flour, heaping"", ""2 cloves garlic, crushed"", ""1 sprig rosemary + 2 Tbsp. chopped"", ""8 ounces cheese curds"", ""truffle oil, to taste"", ""salt and black pepper, to taste"", ""2 shallots, thinly sliced"", ""2 tablespoons flour"", ""5 green onions, thinly sliced""]","[""Peel potatoes. With a large knife, cut potatoes into 4 or 5 pieces length wise and then slice into 1/3 inch sticks."", ""Place fries in pot of cold, heavily salted water and turn heat on high. Don't overcook in this step because you don't want your fries to be mushy or fall apart. Rule of thumb: take the fries out once the water shows its first big bubble. Place fries on cookie rack to dry."", ""Transfer to paper towel lined plate. Place fries in the refrigerator to dry and to cool."", ""Heat half a gallon of vegetable oil on high in a dry, heavy bottom pot. Once the temperature reaches 325 degrees. Remove fries from fridge and add a small batch to the heated oil and cook until a crust forms. You don't want them to turn golden brown, just a crust to form. Since you're working in batches, make sure the temp stays at 325. Return your fries to a cookie rack and place in the fridge again until cool."", ""In a separate saucepan, heat chicken stock over medium heat and add rosemary sprig, garlic, and salt."", ""While fries are cooling the second time, start your gravy by heating chicken fat or pan drippings over medium heat. Whisk in flour until a paste forms. Add about half a cup of the warm, herby chicken stock and continue to whisk so the flour mixture doesn't clump. Once well mixed, add the remainder of the warm chicken stock, continuing to whisk."", ""Add chopped rosemary to the gravy. Simmer until gravy thickens."", ""Heat oil to 385. Fry cooled potatoes again until golden brown"", ""Take fries from pot and place on a paper towel covered pan to absorb the oil. Season generously with salt and even more generously with black pepper. Once fries cool slightly, drizzle with truffle oil."", ""Next, toss thinly sliced shallots with a little flour until the shallots are lightly covered. Add to hot oil and fry for about 20 seconds or until the shallots are crispy."", ""Layer fries in an oven proof dish and cover with gravy. Then top with cheese curds and crispy shallots. Broil in the oven until cheese curds begin to brown."", ""Garnish generously with green onions.""]",food52.com/recipes/30178-truffle-pepper-fries-rosemary-gravy-poutine-with-crispy-shallots,Gathered,"[""russet potatoes"", ""chicken"", ""chicken"", ""flour"", ""garlic"", ""rosemary +"", ""cheese curds"", ""truffle oil"", ""salt"", ""shallots"", ""flour"", ""green onions""]"
1404337,Grilled Nectarine Poutine On A Bed Of Green With Boursin And Blistered Peppers,"[""1 piece Nectarine, sliced"", ""5.3 ounces Yogurt (1 small container)"", ""2 cups Salad greens of choice"", ""2 tablespoons Orange zest"", ""1 tablespoon Lemon juice"", ""1 tablespoon Honey"", ""1/2 teaspoon Dried mint"", ""4 tablespoons Boursin Cheese with garlic and herbs"", ""1/4 cup Slices of bell pepper (or 2 mini sweet peppers)"", ""1 tablespoon Oil or cooking spray (if using grill pan)""]","[""Heat your grill or, if using a grill pan, coat lightly with spray or oil and bring to medium-high heat."", ""Lay out the slices of nectarine and peppers along the grill and cook on both side until warmed and has charred grill marks."", ""While these are on the grill or grill pan, combine the yogurt, honey, lemon, mint and 1 teaspoon of the orange zest. Set aside, in a cooler or refrigerator."", ""Arrange your greens on as many plates as you're using to serve, and then place dollops or quenelles of the Boursin on the plates (https://food52.com/blog/10813-video-how-to-form-quenelles)."", ""Once your nectarines and peppers are ready, arrange on the plates and dress with the yogurt mixture."", ""Garnish with the remaining orange zest and serve immediately.""]",food52.com/recipes/60251-grilled-nectarine-poutine-on-a-bed-of-green-with-boursin-and-blistered-peppers,Gathered,"[""Nectarine"", ""Salad greens of choice"", ""Orange zest"", ""Lemon juice"", ""Honey"", ""mint"", ""Boursin Cheese with garlic"", ""bell pepper"", ""Oil""]"
1404508,Vegetarian Poutine,"[""4 small or 2 large Russet potatoes"", ""3 tablespoons olive oil"", ""2 tablespoons butter"", ""2 tablespoons all-purpose flour"", ""1 cup vegetable stock"", ""1/2 pound cheese curds""]","[""Preheat the oven to 450\u00b0 F."", ""Scrub the potatoes and julienne with the skins left on. Place into a large bowl filled with cold water and then place into the fridge for 1 hour. This will remove some of the starch, making the french fries more crispy once baked."", ""Drain the water, pat the potatoes dry, and then spread onto a baking sheet. Toss with olive oil and bake for 35 to 40 minutes, turning occasionally, until golden brown and crispy."", ""Heat the butter and flour in a medium saucepan on low heat until it starts to foam. With a wire whisk, slowly add in the vegetable stock, stirring rapidly. Simmer for 15 minutes or until the gravy has thickened, stirring occasionally."", ""Once the french fries have cooked, remove them from the oven and place onto a serving plate. Top with cheese curds and then pour gravy over top. Serve warm. Can be garnished with chopped green onions.""]",food52.com/recipes/25906-vegetarian-poutine,Gathered,"[""potatoes"", ""olive oil"", ""butter"", ""flour"", ""vegetable stock"", ""curds""]"
1471209,Poutine,"[""2 tablespoons duck fat"", ""2 pounds baking potatoes, cut into 4 x 1/4-inch strips (about 3 medium)"", ""1/2 teaspoon kosher salt, divided"", ""Cooking spray"", ""6 ounces 50% less-fat pork sausage"", ""1 1/2 tablespoons butter, melted"", ""2 tablespoons all-purpose flour"", ""2 cups fat-free, less-sodium beef broth"", ""2 ounces fresh cheddar cheese curds"", ""Chopped fresh parsley (optional)""]","[""Place a small roasting pan in the oven. Preheat oven to 450\u00b0."", ""Carefully remove hot pan from oven. Melt fat in pan; add potatoes. Sprinkle potatoes with 1/4 teaspoon salt; toss. Bake at 450\u00b0 for 45 minutes or until golden, turning once after 30 minutes."", ""Heat a large skillet over medium-high heat. Coat pan with cooking spray. Add sausage; cook 5 minutes or until browned, stirring to crumble. Combine butter and flour, stirring until smooth. Add butter mixture to sausage; cook 1 minute, stirring constantly. Slowly add broth to pan, stirring constantly; bring to a boil. Reduce heat; add remaining 1/4 teaspoon salt, and simmer 3 minutes or until slightly thick, stirring occasionally. Spoon gravy over fries; top with cheese curds. Sprinkle with parsley, if desired.""]",www.myrecipes.com/recipe/poutine,Gathered,"[""duck fat"", ""baking potatoes"", ""kosher salt"", ""Cooking spray"", ""pork sausage"", ""butter"", ""flour"", ""beef broth"", ""cheddar cheese"", ""fresh parsley""]"
1486358,Gluten-Free Poutine Recipe,"[""1 recipe"", "", prepared until just before final frying stage"", ""8 ounces (1 cup) gluten-free chicken stock, divided, warm"", ""3 tablespoons butter"", ""3 tablespoons sweet rice flour"", ""8 ounces (1 cup) gluten-free beef broth, warm"", ""1 tablespoon cornstarch"", ""1 teaspoon apple cider vinegar"", ""Kosher salt and freshly ground black pepper"", ""8 ounces cheese curds""]","[""Soak potatoes as directed in recipe."", ""Just before frying french fries, prepare gravy. Reserve one tablespoon chicken stock. Set aside. In medium pot, melt butter over medium-high heat. Add sweet rice flour and whisk to combine. A thick paste will form. Cook, whisking constantly, until mixture turns lightly golden brown, about three minutes. Whisking constantly, add remaining chicken stock and all beef broth in a slow and steady stream. Cook until gravy thickens, about four minutes. Combine cornstarch and reserved chicken stock. Whisk with a fork until smooth. Add to gravy. Continue whisking and bring gravy to a boil. Reduce heat to low. Add vinegar and season to taste with salt and pepper. Whisk gravy occasionally while you prepare the french fries."", ""Remove cheese curds from refrigerator. Set aside. Fry french fries as directed in recipe. Divide cooked french fries between four bowls. Top with cheese curds and gravy. Serve immediately.""]",www.seriouseats.com/recipes/2012/04/gluten-free-poutine.html,Gathered,"[""recipe"", ""stage"", ""chicken"", ""butter"", ""sweet rice flour"", ""beef broth"", ""cornstarch"", ""apple cider vinegar"", ""Kosher salt"", ""cheese curds""]"
1487370,Poutine Poppers (Cheese-Stuffed Potato Bites With Brown Gravy) Recipe,"[""6 medium russet potatoes, washed and scrubbed"", ""Canola, vegetable, or peanut oil, for brushing and deep frying"", ""1/4 cup plus 2 tablespoons all-purpose flour, divided"", ""2 teaspoons kosher salt"", ""1 teaspoon freshly ground black pepper"", ""8 ounces cheese curds (see note)"", ""1 1/2 cups water"", ""2 beef bouillon cubes (or 2 teaspoons beef bouillon granules; see note)"", ""2 tablespoons unsalted butter"", ""1/4 teaspoon garlic powder"", ""1/4 teaspoon onion powder""]","[""Adjust oven rack to center position and preheat oven to 400\u00b0F. Line a baking sheet with foil and place potatoes on top. Brush potatoes all over with oil and bake until pierced easily with a fork, about 40 minutes."", ""Let potatoes stand until cool enough to handle. Cut potatoes in half lengthwise and, using a spoon, scoop out the potato flesh and transfer to a bowl. Reserve the skins for another use, such as"", "", if desired."", ""Mix potatoes with 1/4 cup flour along with the salt pepper. Working one at a time, shape potato mixture into 1 1/2-inch cylinders, then flatten into your palm, and place 1 or 2 cheese curds, depending on their size, in the center. Using your fingers, fold the potato around the cheese to re-form the cylinder, making sure the cheese isn't poking through in any spots. Set on a baking sheet and repeat with remaining potato and curds. Set aside."", ""Combine the water and beef bouillon in a microwave-safe container and microwave until hot, about 1 1/2 minutes; stir to blend. In a saucepan over medium heat, melt butter and mix in remaining 2 tablespoons flour. Cook until lightly browned, then whisk in beef broth. Bring to a boil, stirring occasionally, and reduce to a simmer. Stir in garlic and onion powders and cook, stirring, until gravy thickens, about 3 minutes. Keep warm until ready to serve."", ""In a deep fryer, Dutch oven, or wok, heat at least 2 inches of oil to 375\u00b0F. Working in batches of 4 or 5, add poppers to oil and fry until golden brown, flipping for even browning all over, about 5 minutes. Using a slotted spoon or spider, transfer fried poppers to a paper towel-lined plate. Serve right away with warm gravy.""]",www.seriouseats.com/recipes/2015/02/poutine-poppers-potato-cheese-gravy-recipe.html,Gathered,"[""russet potatoes"", ""peanut oil"", ""flour"", ""kosher salt"", ""freshly ground black pepper"", ""cheese curds"", ""water"", ""beef bouillon cubes"", ""unsalted butter"", ""garlic"", ""onion powder""]"
1487371,The Ultimate Poutine Recipe,"[""1 tablespoon canola or vegetable oil"", ""2 pounds beef oxtails"", ""1 pound beef marrow bones"", ""1 pound veal bones"", ""1 pound chicken necks, backs, or legs"", ""2 medium carrots, roughly chopped"", ""1 stalk celery, roughly chopped"", ""1 large onion, quartered"", ""4 medium cloves garlic, smashed and peeled"", ""1 quart"", ""or low-sodium broth"", ""3 quarts water"", ""3 sprigs fresh parsley"", ""3 sprigs fresh thyme"", ""2 bay leaves"", ""1 tablespoon whole black peppercorns"", ""1/4 cup unsalted butter"", ""1/4 cup all-purpose flour"", ""1 tablespoon rice vinegar"", ""Kosher salt"", ""4 large skin-on russet potatoes (about 2 pounds), cut into 1/4-inch sticks on a"", ""2 quarts peanut oil"", ""12 ounces freshly made white cheddar cheese curds (preferably not more than 24 hours old), either store-bought or"", "", at room temperature and broken into bite-size pieces""]","[""Heat oil in a large stock pot over high heat until shimmering. Add oxtails and cook until deeply browned, about 4 minutes per side. Transfer to a plate. Add beef and veal bones and cook until deeply browned, about 10 minutes total. Transfer to plate with oxtails. Add chicken pieces and cook until well browned, 5 to 8 minutes. Transfer to plate with oxtails and bones. Stir in carrots, onion, and garlic and cook until well browned. Stir in chicken stock, scraping up any browned bits from bottom of pot. Add water, parsley, thyme, bay leaves, peppercorns, oxtails, beef bones, chicken, and any accumulated juices from plate. Bring stock to a simmer, then reduce heat to low and cook at a bare simmer for 3 hours. Pour stock through a fine mesh strainer into a large bowl. Remove fat from stock by skimming with a ladle, using a fat separator, or placing stock in refrigerator until chilled, then discarding hardened fat from the surface."", ""Melt butter in medium saucepan over medium-high heat until foaming. Whisk in flour and cook, stirring constantly, until golden blonde, about 2 minutes. Gradually whisk in 3 cups of stock in a steady stream. Bring to a boil, reduce to a simmer, and cook until reduced to 2 cups, 10 to 15 minutes. Remove from heat, stir in vinegar, and season with salt."", ""Place potatoes in a large bowl and cover completely with cold water. Let soak for at least 1 hour, or, alternatively, drain water and rinse again, changing water until it runs completely clear. Drain potatoes and dry thoroughly with paper towels."", ""Heat oil in a large Dutch oven or wok to 350\u00b0F. Working in batches, add potatoes and cook, stirring and turning frequently until pale blonde, about 5 minutes. Transfer potatoes to a paper towel-lined baking sheet. (For crispiest fries, see note about adding a freezing step.)"", ""Heat oil to 425\u00b0F. Add potatoes and cook, stirring and turning frequently, until deep golden brown, about 3 minutes. Transfer to paper towel-lined bowl and season with salt to taste."", ""Reheat gravy over high heat until hot. Place fries in a shallow bowl or dish, top generously with cheese curds, and ladle on gravy. Serve immediately.""]",www.seriouseats.com/recipes/2015/03/ultimate-perfect-poutine-fries-cheese-curds-gravy-recipe.html,Gathered,"[""vegetable oil"", ""beef oxtails"", ""beef"", ""veal"", ""chicken"", ""carrots"", ""celery"", ""onion"", ""cloves garlic"", ""quart"", ""broth"", ""water"", ""parsley"", ""thyme"", ""bay leaves"", ""whole black peppercorns"", ""unsalted butter"", ""all-purpose"", ""rice vinegar"", ""Kosher salt"", ""skin-on"", ""peanut oil"", ""cheddar cheese""]"
1487372,Quick And Easy Poutine Recipe,"[""1/4 cup unsalted butter"", ""1/4 cup all-purpose flour"", ""2 cups store-bought beef stock"", ""1 cup store-bought or"", ""chicken stock"", ""2 teaspoons Asian fish sauce"", ""2 teaspoons soy sauce"", ""1 1/2 tablespoons rice vinegar"", ""Kosher salt"", ""1 freshly made batch homemade French fries from"", ""or about 2 pounds frozen thick-cut French fries, reheated following package instructions"", ""12 ounces white cheddar cheese curds or mild white cheddar cheese, at room temperature and torn into bite-size pieces""]","[""Melt butter in a medium saucepan over medium-high heat. Whisk in flour and cook, stirring constantly, until lightly golden, about 2 minutes. Gradually whisk in beef and chicken stocks in a steady stream. Stir in fish sauce and soy sauce, bring to a boil, reduce to a simmer, and cook until reduced to 2 cups, 10 to 15 minutes. Remove from heat, stir in vinegar, and season with salt."", ""Place fries in a shallow bowl or dish, top generously with cheese curds, and ladle on hot gravy. Serve immediately.""]",www.seriouseats.com/recipes/2015/04/quick-easy-poutine-recipe.html,Gathered,"[""unsalted butter"", ""all-purpose"", ""store-bought beef stock"", ""store-bought"", ""chicken"", ""fish sauce"", ""soy sauce"", ""rice vinegar"", ""Kosher salt"", ""batch"", ""instructions"", ""cheddar cheese""]"
1487704,"Poutine Burger (Burgers With Fried Potatoes, Cheese Curds, And Gravy) Recipe","[""1 potato, peeled and cut into 1/8th inch matchsticks with a mandoline or by hand"", ""1 quart peanut or canola oil"", ""Kosher salt"", ""20 ounces freshly ground beef, formed gently into four 5-ounce patties"", ""Freshly ground black pepper"", ""4 hamburger buns"", ""Sliced onions (if desired)"", ""6 ounces"", ""1 cup"", "", hot""]","[""Rinse cut potatoes in a bowl of cold water, changing water as necessary until water runs clear. Drain carefully and dry on paper towels."", ""In a deep cast iron skillet, fryer, or wok, heat oil to 350\u00b0F. Carefully lower potatoes into oil. Cook potatoes without moving, adjusting heat to maintain temperature, until bubbles from potatoes slow down and potatoes are a pale golden blond, about 3 minutes. Continue cooking, agitating potatoes occasionally with a metal spider or tongs until potatoes are deep golden brown, about 3 minutes longer. Carefully transfer potatoes to a paper towel-lined bowl and season immediately with salt. Allow to cool completely. After cooling, potatoes can be stored in an airtight container at room temperature for up to 3 days."", ""When ready to serve, season burger patties generously with salt and pepper and cook burgers to desired doneness on a hot grill or in a skillet on the stovetop, 125\u00b0F for medium rare or 135\u00b0F for medium. Transfer to a plate and allow to rest for 5 minutes."", ""While burgers rest, toast buns until golden brown. Place onions on bottom bun (if using). Top with burger patties, cheese curds, fried potatoes, and hot gravy. Close burgers. Serve immediately.""]",www.seriouseats.com/recipes/2013/06/poutine-burger-recipe.html,Gathered,"[""potato"", ""peanut"", ""Kosher salt"", ""ground beef"", ""Freshly ground black pepper"", ""buns"", ""onions""]"
1519459,Poutine Burgers,"[""1/2 cup seasoned bread crumbs"", ""1 egg, lightly beaten"", ""1/2 teaspoon salt"", ""1/2 teaspoon pepper"", ""1 pound ground beef"", ""1 tablespoon olive oil"", ""4 hamburger buns, split and toasted"", ""Cheese curds"", ""Hot French-fried potatoes"", ""Brown gravy, warmed""]","[""In a large bowl, combine bread crumbs, egg, salt and pepper. Add beef; mix lightly but thoroughly. Shape into four 1/2-in.-thick patties. Press a shallow indentation in the center of each with your thumb. Brush both sides of patties with oil."", ""Grill burgers, covered, over medium heat or broil 4 in. from heat 4-5 minutes on each side or until a thermometer reads 160\u00b0. Serve in buns with toppings.""]",www.tasteofhome.com/recipes/poutine-burgers/,Gathered,"[""bread crumbs"", ""egg"", ""salt"", ""pepper"", ""ground beef"", ""olive oil"", ""buns"", ""Cheese curds"", ""potatoes"", ""Brown gravy""]"
1525060,Green Chile Adobado Poutine,"[""3 garlic cloves, unpeeled"", ""4 dried guajillo or ancho chiles, stemmed and seeded"", ""1 can (10 ounces) enchilada sauce, divided"", ""3 cans (4 ounces each) chopped green chiles, divided"", ""1 tablespoon cider vinegar"", ""2 teaspoons dried oregano"", ""1/2 teaspoon ground cumin"", ""1/2 teaspoon salt"", ""1/2 teaspoon pepper"", ""1/8 teaspoon ground cinnamon"", ""2 pounds boneless country-style pork ribs, cut into 2-inch pieces"", ""1 package (32 ounces) frozen french-fried potatoes"", ""1 cup queso fresco"", ""Pico de gallo, optional""]","[""Lightly smash garlic cloves with the bottom of a heavy skillet to flatten. Cook in a large skillet over medium-low heat until softened and browned, 10 minutes. Cool and peel."", ""In same skillet at the same time, cook dried chiles, pressing them against the bottom with a spatula or tongs until lightly toasted and fragrant, 1-2 minutes. Transfer to a bowl. Pour boiling water over chilies to cover; let stand 15 minutes. Drain."", ""Place chiles and garlic in a food processor. Add 1/2 cup enchilada sauce, 2 cans green chiles, vinegar, oregano, cumin, salt, pepper and cinnamon; process until blended. Stir in remaining enchilada sauce and green chiles. Transfer to a 5- or 6-qt. slow cooker. Add ribs; turn to coat. Cover and cook on high until meat is tender, 3-4 hours. During the final 30 minutes, cook fries according to package directions."", ""Remove pork; shred with two forks. Top fries with meat, cheese, enchilada gravy and if desired, pico de gallo.""]",www.tasteofhome.com/recipes/green-chile-adobado-poutine/,Gathered,"[""garlic"", ""chiles"", ""enchilada sauce"", ""green chiles"", ""cider vinegar"", ""oregano"", ""ground cumin"", ""salt"", ""pepper"", ""ground cinnamon"", ""pork"", ""potatoes"", ""queso fresco""]"
1534834,Poutine,"[""4 cups frozen french-fried potatoes"", ""1 envelope brown gravy mix"", ""1/4 teaspoon pepper"", ""1/2 cup white cheddar cheese curds or cubed white cheddar cheese""]","[""Prepare french-fried potatoes according to package directions."", ""Meanwhile, prepare gravy mix according to package directions. Stir in pepper. Place fries on a serving plate; top with cheese curds and gravy.""]",www.tasteofhome.com/recipes/poutine/,Gathered,"[""potatoes"", ""brown gravy mix"", ""pepper"", ""cheddar cheese""]"
1536036,Short Rib Poutine,"[""1 pound well-trimmed boneless beef short ribs"", ""3 tablespoons all-purpose flour"", ""1/2 teaspoon pepper"", ""2 tablespoons olive oil"", ""1 medium onion, coarsely chopped"", ""4 garlic cloves, minced"", ""1-1/2 cups beef stock, divided"", ""1/4 cup Sriracha chili sauce"", ""3 tablespoons ketchup"", ""2 tablespoons Worcestershire sauce"", ""1 tablespoon packed brown sugar"", ""3 cups frozen french-fried potatoes (about 11 ounces)"", ""1 cup cheese curds or 4 ounces white cheddar cheese, broken into small chunks""]","[""Toss short ribs with flour and pepper, shaking off excess; reserve remaining flour mixture. In a large skillet, heat oil over medium-high heat; brown ribs on all sides. Transfer to a 3-qt. slow cooker, reserving drippings."", ""In same skillet, saute onion in drippings over medium heat until tender, 2-3 minutes. Add garlic; cook and stir 1 minute. Stir in 1 cup stock; bring to a boil, stirring to loosen browned bits from pan."", ""In a small bowl, whisk reserved flour mixture, chili sauce, ketchup, Worcestershire sauce, brown sugar and remaining stock until smooth; stir into onion mixture. Pour over ribs."", ""Cook, covered, on low until ribs are tender, 6-8 hours. Remove ribs; shred with two forks and keep warm. Skim fat from onion mixture; puree using an immersion blender. (Or, cool slightly and puree in a blender; return to slow cooker to heat through.)"", ""Cook potatoes according to package directions. Serve beef over potatoes; top with gravy and cheese.""]",www.tasteofhome.com/recipes/short-rib-poutine/,Gathered,"[""all-purpose"", ""pepper"", ""olive oil"", ""onion"", ""garlic"", ""beef stock"", ""chili sauce"", ""ketchup"", ""Worcestershire sauce"", ""brown sugar"", ""potatoes"", ""cheese curds""]"
